J. Charles,RB,KC,6,0,0,1141,11.1,582,2.5,0,0,4.1
L. McCoy,RB,Eagles,7,0,0,1274,10,353,1.7,0,0,2.6
A. Peterson,RB,Vikings,10,0,0,1265,10.5,377,1.4,0,0,4.9
E. Lacy,RB,GB,9,0,0,1169,10.5,370,1.6,0,0,3
M. Lynch,RB,Sea,4,0,0,1135,10.7,246,1.1,0,0,3.5
M. Forte,RB,Chi,9,0,0,1161,7.9,538,2,0,0,3.5
C. Johnson,WR,Det,9,0,0,0,0,1380,11.1,0,0,1.1
J. Graham,TE,NO,6,0,0,0,0,1116,12.1,0,0,0.6
M. Ball,RB,Den,4,0,0,1031,7.1,424,1.3,0,0,4.4
D. Thomas,WR,Den,4,0,0,0,0,1368,10.2,0,0,1.6
A. Green,WR,Cin,4,0,0,0,0,1220,10.1,0,0,1
D. Bryant,WR,Dal,11,0,0,0,0,1457,10.6,0,0,2.4
L. Bell,RB,Pit,12,0,0,900,6,432,2.2,0,0,2.3
B. Marshall,WR,Chi,9,0,0,0,0,1280,10.5,0,0,0.6
D. Martin,RB,TB,7,0,0,1048,5.5,380,1.3,0,0,3
Z. Stacy,RB,StL,4,0,0,1051,8.3,322,0.9,0,0,2.5
P. Manning,QB,Den,4,5399,41.1,-14.4,1.2,0,0,0,0,8.8
J. Jones,WR,Atl,9,0,0,9.2,0,1371,9.4,0,0,1.5
G. Bernard,RB,Cin,4,0,0,898,6,450,1.4,0,0,2.9
D. Murray,RB,Dal,11,0,0,934,8.7,449,1.4,0,0,3.1
A. Jeffery,WR,Chi,9,0,0,93.1,0.3,1181,8,0,0,2
D. Brees,QB,NO,6,5112,37.9,47,0.8,0,0,0,0,7.6
A. Foster,RB,Hou,10,0,0,1054,7.8,378,0.9,0,0,1.9
A. Rodgers,QB,GB,9,4547,31.3,264,1.7,0,0,0,0,8.8
J. Nelson,WR,GB,9,0,0,0,0,1174,8.5,0,0,0.6
A. Brown,WR,Pit,12,0,0,43.6,0.1,1233,6.2,332,0.5,0.6
A. Morris,RB,Was,10,0,0,1146,8.8,105,0.4,0,0,4.2
R. Mathews,RB,SD,10,0,0,1039,5.1,238,0.6,0,0,2.6
K. Allen,WR,SD,10,0,0,0,0,1033,8.1,106,0.2,1
R. Cobb,WR,GB,9,0,0,72.6,0.3,1074,7.6,155,0.2,1
L. Fitzgerald,WR,Ari,4,0,0,11.2,0,1062,8.1,0,0,1.1
A. Ellington,RB,Ari,4,0,0,1033,5.1,471,1.3,0,0,2.6
V. Jackson,WR,TB,7,0,0,0,0,1208,5.5,0,0,1.1
C. Spiller,RB,Buf,9,0,0,984,3.8,397,0.8,0,0,4.1
J. Thomas,TE,Den,4,0,0,0,0,806,8,0,0,0.9
R. Bush,RB,Det,9,0,0,627,3,514,1.5,0,0,3.2
A. Johnson,WR,Hou,10,0,0,0,0,1172,5.5,0,0,0.6
P. Garcon,WR,Was,10,0,0,11.5,0,1074,6.6,0,0,1
W. Welker,WR,Den,4,0,0,0,0,962,7.8,333,0.4,0.5
V. Cruz,WR,NYG,8,0,0,0,0,1171,5.9,0,0,1.2
R. Jennings,RB,NYG,8,0,0,767,5,394,0.8,0,0,1.5
B. Sankey,RB,Ten,9,0,0,802,5.4,196,0.7,0,0,2.8
M. Crabtree,WR,SF,8,0,0,11.8,0,915,5.9,0,0,0.8
F. Gore,RB,SF,8,0,0,922,8.6,175,0.5,0,0,2.7
V. Davis,TE,SF,8,0,0,0,0,627,6.6,0,0,0.6
C. Patterson,WR,Vikings,10,0,0,69.7,0.3,933,6.2,864,0.5,0.6
P. Harvin,WR,Sea,4,0,0,111,0.6,809,6.1,789,0.5,1.2
D. Jackson,WR,Was,10,0,0,34.3,0.2,1026,5.9,86,0.2,1
